amount_band,hour_of_day,n,false_positive_rate,false_negative_rate
"(-0.001, 3.57]",0,2048,0.0,0.0
"(-0.001, 3.57]",1,689,0.0,0.0
"(-0.001, 3.57]",2,700,0.0,0.0
"(-0.001, 3.57]",3,361,0.002770083102493075,0.0
"(-0.001, 3.57]",4,273,0.003663003663003663,0.0
"(-0.001, 3.57]",5,583,0.0,0.0
"(-0.001, 3.57]",6,1135,0.0,0.0
"(-0.001, 3.57]",7,2234,0.0,0.0
"(-0.001, 3.57]",8,1845,0.0,0.0
"(-0.001, 3.57]",9,2486,0.00040225261464199515,0.0
"(-0.001, 3.57]",10,2569,0.00038925652004671076,0.0
"(-0.001, 3.57]",11,2707,0.0,0.0
"(-0.001, 3.57]",12,2598,0.0,0.0
"(-0.001, 3.57]",13,2638,0.000758150113722517,0.0
"(-0.001, 3.57]",14,3070,0.0,0.0
"(-0.001, 3.57]",15,2848,0.0,0.0
"(-0.001, 3.57]",16,2997,0.0,0.0
"(-0.001, 3.57]",17,3219,0.0,0.0
"(-0.001, 3.57]",18,3763,0.0,0.0
"(-0.001, 3.57]",19,3312,0.0,0.0
"(-0.001, 3.57]",20,3641,0.0,0.0
"(-0.001, 3.57]",21,4404,0.0,0.0
"(-0.001, 3.57]",22,4025,0.0002484472049689441,0.0
"(-0.001, 3.57]",23,2820,0.0,0.0
"(3.57, 13.0]",0,1910,0.0,0.0
"(3.57, 13.0]",1,1073,0.0,0.0
"(3.57, 13.0]",2,751,0.0,0.0
"(3.57, 13.0]",3,841,0.0,0.0
"(3.57, 13.0]",4,441,0.0,0.0
"(3.57, 13.0]",5,1325,0.0,0.0
"(3.57, 13.0]",6,1070,0.0,0.0
"(3.57, 13.0]",7,1197,0.0,0.0
"(3.57, 13.0]",8,1884,0.0,0.0
"(3.57, 13.0]",9,2688,0.0,0.0
"(3.57, 13.0]",10,2765,0.0,0.0
"(3.57, 13.0]",11,2871,0.0,0.0
"(3.57, 13.0]",12,2701,0.0,0.0
"(3.57, 13.0]",13,3009,0.0,0.0
"(3.57, 13.0]",14,2989,0.0,0.0
"(3.57, 13.0]",15,3102,0.0,0.0
"(3.57, 13.0]",16,3047,0.0,0.0
"(3.57, 13.0]",17,3209,0.0,0.0
"(3.57, 13.0]",18,3632,0.0,0.0
"(3.57, 13.0]",19,3427,0.0,0.0
"(3.57, 13.0]",20,3679,0.0002718129926610492,0.0
"(3.57, 13.0]",21,3564,0.0,0.0
"(3.57, 13.0]",22,3273,0.0,0.0
"(3.57, 13.0]",23,2516,0.0,0.0
"(13.0, 37.0]",0,1437,0.0,0.0
"(13.0, 37.0]",1,956,0.0,0.0
"(13.0, 37.0]",2,869,0.0,0.0
"(13.0, 37.0]",3,1286,0.0,0.0
"(13.0, 37.0]",4,690,0.0,0.0
"(13.0, 37.0]",5,403,0.0,0.0
"(13.0, 37.0]",6,714,0.0,0.0
"(13.0, 37.0]",7,1348,0.0,0.0
"(13.0, 37.0]",8,2138,0.0,0.0
"(13.0, 37.0]",9,3236,0.0,0.0
"(13.0, 37.0]",10,3368,0.0,0.0
"(13.0, 37.0]",11,3335,0.0,0.0
"(13.0, 37.0]",12,3050,0.0,0.0
"(13.0, 37.0]",13,2977,0.0,0.0
"(13.0, 37.0]",14,3312,0.0,0.0
"(13.0, 37.0]",15,3383,0.0,0.0
"(13.0, 37.0]",16,3347,0.0,0.0
"(13.0, 37.0]",17,3023,0.0,0.0
"(13.0, 37.0]",18,3354,0.0,0.0
"(13.0, 37.0]",19,3142,0.0,0.0
"(13.0, 37.0]",20,3361,0.0,0.0
"(13.0, 37.0]",21,3391,0.0,0.0
"(13.0, 37.0]",22,2898,0.0,0.0
"(13.0, 37.0]",23,2071,0.0,0.0
"(37.0, 100.0]",0,1213,0.0,0.0
"(37.0, 100.0]",1,889,0.0,0.0
"(37.0, 100.0]",2,524,0.0,0.0
"(37.0, 100.0]",3,629,0.0,0.0
"(37.0, 100.0]",4,472,0.0,0.0
"(37.0, 100.0]",5,384,0.0,0.0
"(37.0, 100.0]",6,633,0.0,0.0
"(37.0, 100.0]",7,1402,0.0,0.0
"(37.0, 100.0]",8,2412,0.00041459369817578774,0.0
"(37.0, 100.0]",9,3739,0.0,0.0
"(37.0, 100.0]",10,3849,0.0,0.0
"(37.0, 100.0]",11,3823,0.0002615746795710175,0.0
"(37.0, 100.0]",12,3298,0.0,0.0
"(37.0, 100.0]",13,3275,0.0,0.0
"(37.0, 100.0]",14,3508,0.0,0.0
"(37.0, 100.0]",15,3273,0.0,0.0
"(37.0, 100.0]",16,3348,0.0,0.0
"(37.0, 100.0]",17,3183,0.0,0.0
"(37.0, 100.0]",18,3296,0.0,0.0
"(37.0, 100.0]",19,3025,0.0,0.0
"(37.0, 100.0]",20,3139,0.0,0.0
"(37.0, 100.0]",21,3341,0.0,0.0
"(37.0, 100.0]",22,2782,0.0,0.0
"(37.0, 100.0]",23,1844,0.0,0.0
"(100.0, 25691.16]",0,1087,0.0009199632014719411,0.0
"(100.0, 25691.16]",1,613,0.0,0.0
"(100.0, 25691.16]",2,484,0.0,0.0
"(100.0, 25691.16]",3,375,0.0,0.0
"(100.0, 25691.16]",4,333,0.0,0.0
"(100.0, 25691.16]",5,295,0.0,0.0
"(100.0, 25691.16]",6,549,0.0,0.0
"(100.0, 25691.16]",7,1062,0.0,0.0
"(100.0, 25691.16]",8,1997,0.0,0.0
"(100.0, 25691.16]",9,3689,0.0,0.0
"(100.0, 25691.16]",10,4047,0.0,0.0
"(100.0, 25691.16]",11,4120,0.0,0.0
"(100.0, 25691.16]",12,3773,0.0,0.0
"(100.0, 25691.16]",13,3466,0.0,0.0
"(100.0, 25691.16]",14,3691,0.0,0.0
"(100.0, 25691.16]",15,3855,0.0,0.0
"(100.0, 25691.16]",16,3714,0.0,0.0
"(100.0, 25691.16]",17,3532,0.0,0.0
"(100.0, 25691.16]",18,2994,0.0,0.0
"(100.0, 25691.16]",19,2743,0.0,0.0
"(100.0, 25691.16]",20,2936,0.0,0.0
"(100.0, 25691.16]",21,3003,0.000333000333000333,0.0
"(100.0, 25691.16]",22,2463,0.0,0.0
"(100.0, 25691.16]",23,1687,0.0,0.0
